year,2012,2013,2014,2015,2016,2017,2018,2019
Jan,16675,14490,16894,16682,16794,17863,16984,17469
Feb,16675,14490,15997,16239,16486,17863,16984,17469
Mar,19888,17605,18240,19044,20029,19848,20159,20145
Apr,13672,14239,14992,15405,15575,14576,16252,16082
May,14219,14951,15292,15701,16033,14851,16890,16398
Jun,15586,15521,17091,17479,17713,17189,17527,18447
Jul,17148,17191,18858,18144,18243,17696,18633,19060
Aug,18969,20056,19692,19108,19534,18875,20327,21084
Sep,19121,20374,19859,20071,19534,19170,20666,21422
Oct,14976,15382,13941,15481,16306,16578,18334,17630
Nov,14347,15127,13822,15351,15898,16317,17393,17630
Dec,13340,13475,12273,14050,14539,14229,16610,16308
